id,name,district,state_id,is_display
1056,Madhugiri,Madhugiri,17,1
1057,Tekkalakote,Tekkalakote,17,1
1058,Terdal,Terdal,17,1
1059,Mudabidri,Mudabidri,17,1
1060,Magadi,Magadi,17,1
1061,Navalgund,Navalgund,17,1
1062,Shiggaon,Shiggaon,17,1
1063,Shrirangapattana,Shrirangapattana,17,1
1064,Sindagi,Sindagi,17,1
1065,Sakaleshapura,Sakaleshapura,17,1
1066,Srinivaspur,Srinivaspur,17,1
1067,Ron,Ron,17,1
1068,Mundargi,Mundargi,17,1
1069,Sadalagi,Sadalagi,17,1
1070,Piriyapatna,Piriyapatna,17,1
1071,Adyar,Adyar,17,1
1072,Kochi,Kochi,18,1
1073,Ponnani,Ponnani,18,1
1074,Vatakara,Vatakara,18,1
1075,Kanhangad,Kanhangad,18,1
1076,Taliparamba,Taliparamba,18,1
1077,Koyilandy,Koyilandy,18,1
1078,Neyyattinkara,Neyyattinkara,18,1
1079,Kayamkulam,Kayamkulam,18,1
1080,Nedumangad,Nedumangad,18,1
1081,Tirur,Tirur,18,1
1082,Kasaragod,Kasaragod,18,1
1083,Kunnamkulam,Kunnamkulam,18,1
1084,Ottappalam,Ottappalam,18,1
1085,Thiruvalla,Thiruvalla,18,1
1086,Thodupuzha,Thodupuzha,18,1
1087,Chalakudy,Chalakudy,18,1
1088,Changanassery,Changanassery,18,1
1089,Punalur,Punalur,18,1
1090,Nilambur,Nilambur,18,1
1091,Cherthala,Cherthala,18,1
1092,Perinthalmanna,Perinthalmanna,18,1
1093,Mattannur,Mattannur,18,1
1094,Shoranur,Shoranur,18,1
1095,Varkala,Varkala,18,1
1096,Paravoor,Paravoor,18,1
1097,Peringathur,Peringathur,18,1
1098,Attingal,Attingal,18,1
